Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,Google Shopping / MPN,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,SEO Title,SEO Description,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit
felix-olivine-&-tourmaline-cz-bug-cuff,Felix olivine & tourmaline cz bug cuff,"This bug cuff bracelet is part of our coveted ""Felix"" collection. It's crafted from 18kt pink gold vermeil, and features a delicate bug charm that's embellished with olivine cz pave stones and a single tourmaline cz stone. Wear it to bring a subtle pop of sparkle to any look. 925 sterling silver
18ct pink gold plated
Olivine cz pave and tourmaline cz
6x5 cm
Comes in a luxurious armadoro jewellery box",galleria-armadoro,Bracelet,“Bracelet”,,Title,Default Title,,,,,,,,1,deny,manual,123.00,,,,DK.2632/BG/GR/PG,http://product-images.highwire.com/10397541/felix-cuff-with-tourmaline.jpg,,,,,,,,,,,,,,,,,,,
felix-olivine-&-tourmaline-cz-bug-cuff,,,,,,,,,,,,,,,,,,,,,,,,http://product-images.highwire.com/10397541/img8181ok.jpg,,,,,,,,,,,,,,,,,,,
felix-olivine-&-tourmaline-cz-bug-cuff,,,,,,,,,,,,,,,,,,,,,,,,http://product-images.highwire.com/10397541/img6065ok-smaller.jpg,,,,,,,,,,,,,,,,,,,
felix-black-freshwater-pearl-cuff,Felix black freshwater pearl cuff,"This bug cuff bracelet is part of our coveted ""Felix"" collection. It's crafted from 18kt pink gold vermeil, and features a delicate bug charm that's embellished with ruby cz pave stones and a single black freshwater pearl. Wear it to bring a subtle pop of sparkle to any look. 925 sterling silver
18ct pink gold plated
Ruby cz pave and black freshwater pearl
6x5 cm
Comes in a luxurious armadoro jewellery box",galleria-armadoro,Bracelet,“Bracelet”,,Title,Default Title,,,,,,,,1,deny,manual,144.00,,,,DK.2632/BG/BFP/PG,http://product-images.highwire.com/10397193/felix-cuff-with-pearl.jpg,,,,,,,,,,,,,,,,,,,
atlantis-pink-gold-vermeil-pearl-open-cuff,Atlantis pink gold vermeil pearl open cuff,"This open cuff bracelet is a new addition to the ""Atlantis"" collection family. Made from 18kt pink gold vermeil and embellished with white freshwater pearls and cz pave stones, this playful piece will give day and evening looks an offbeat edge. 925 sterling silver
18ct pink gold plated
White freshwater pearls and cz pave stones
6x6 cm
Comes in a luxurious armadoro jewellery box",galleria-armadoro,Bracelet,“Bracelet”,,Title,Default Title,,,,,,,,1,deny,manual,204.00,,,,DK.2631/BG/WFP/PG/2,http://product-images.highwire.com/10396190/atlantis-open-cuff-with-pearl.jpg,,,,,,,,,,,,,,,,,,,
atlantis-pink-gold-vermeil-pearl-crossover-cuff,Atlantis pink gold vermeil pearl crossover cuff,"This delicate 18kt pink gold vermeil bracelet is a treasure forever adornment. It's shaped with a cross-over band with small white cz paved stones and white freshwater pearls embellishments. Pair it with other pieces form the ""Atlantis"" collection for a polished everyday look. 925 sterling silver
18ct pink gold plated
White freshwater pearls and white star quality cz pave
6x6 cm
Comes in a luxurious armadoro jewellery box",galleria-armadoro,Bracelet,“Bracelet”,,Title,Default Title,,,,,,,,1,deny,manual,183.00,,,,DK.2631/BG/WFP/PG/1,http://product-images.highwire.com/10395973/atlantis-pearls-wrap-cuff.jpg,,,,,,,,,,,,,,,,,,,
atlantis-emerald-green-cz-open-cuff,Atlantis emerald green cz open cuff,"This 18kt gold vermeil cuff bracelet is a beautifully subtle adornment. Tipped with beautifully faceted emerald green & white cz stones, it is a treasure-forever jewellery piece. Wear it layered with similar items of the ""Atlantis"" collection to maximise its appeal. 925 sterling silver
18ct yellow gold plated
Emerald green & white star quality cz pave
Slips on
6x6 cm width
Comes in a luxurious armadoro jewellery box",galleria-armadoro,Bracelet,“Bracelet”,,Title,Default Title,,,,,,,,1,deny,manual,168.00,,,,DK.2631/BR/GR/G/2,http://product-images.highwire.com/10295358/atlantis-open-cuff-with-green-cz.jpg,,,,,,,,,,,,,,,,,,,
atlantis-emerald-green-cz-cuff,Atlantis emerald green cz cuff,"Bring a beautifully subtle note to your everyday look with this 18kt gold vermeil bangle from our ""Atlantis"" collection. The fine band is embellished with a smattering of white and emerald green cz stones and looks particularly effective when layered with other pieces from the collection. 925 sterling silver
18ct yellow gold plated
Emerald green and white star quality cz pave
6x6 cm
Slips on
Comes in a luxurious armadoro jewellery box",galleria-armadoro,Bracelet,“Bracelet”,,Title,Default Title,,,,,,,,1,deny,manual,153.00,,,,DK.2631/BR/GR/G/1,http://product-images.highwire.com/10295342/atlantis-green-cz-wrap-cuff.jpg,,,,,,,,,,,,,,,,,,,
pink-gold-plated-three-rows-palm-cuff,Pink gold plated three rows palm cuff,"This 18ct pink gold plated three rows palm cuff is an innovative jewellery design from the armadoro jewellery Resort 2015 collection. It is the perfect standalone adornment for day or evening. in brass
18ct pink gold plated
4.5 cm width
stands low on the palm of the hand
comes in a luxurious armadoro jewellery box",galleria-armadoro,Bracelet,“Bracelet”,,Title,Default Title,,,,,,,,1,deny,manual,99.00,,,,DK.2614/BR/PG,http://product-images.highwire.com/10198448/3-rows-cuff-brass.jpg,,,,,,,,,,,,,,,,,,,
wavy-evil-eye-bracelet-with-white-pave-teardrop,Wavy evil eye bracelet with white pave teardrop,"This evil eye bracelet from armadoro jewellery's Resort 2015 collection is inspired by the weeping tears of the surrealist art movement. Embellished with green, white, and black cz, this understated piece is sure to stand out. 925 sterling silver
18ct pink gold vermeil
evil eye width 1cm
white, green , and black cz pave
adjustable chain length 18-20 cm
Comes in a luxurious armadoro jewellery box",galleria-armadoro,Bracelet,“Bracelet”,,Title,Default Title,,,,,,,,1,deny,manual,54.00,,,,DK.2621/BR,http://product-images.highwire.com/10192998/wavy-green-and-black-evil-eye-with-white-cz-teardrop.jpg,,,,,,,,,,,,,,,,,,,
